disease,subtype,severity,question,answer,followup
headache,migraine,mild,Can my daily habits or lifestyle be causing this migraine headache?,"From what you describe, it sounds like a moderate case of migraine headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,stress-related,mild,What can I do at home to manage this stress-related headache safely?,"From what you describe, it sounds like a severe case of stress-related headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,eye-strain,mild,Why am I getting this kind of eye-strain headache repeatedly?,"From what you describe, it sounds like a severe case of eye-strain headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,migraine,mild,"I'm not sure if this is normal or serious, my headache feels like migraine and I feel unsure.","From what you describe, it sounds like a mild case of migraine headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,sinus,mild,"I'm not sure if this is normal or serious, my headache feels like sinus and I feel unsure.","From what you describe, it sounds like a moderate case of sinus headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,eye-strain,mild,Can my daily habits or lifestyle be causing this eye-strain headache?,"From what you describe, it sounds like a moderate case of eye-strain headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,stress-related,mild,"I'm not sure if this is normal or serious, my headache feels like stress-related and I feel unsure.","From what you describe, it sounds like a mild case of stress-related headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,stress-related,mild,Why am I getting this kind of stress-related headache repeatedly?,"From what you describe, it sounds like a mild case of stress-related headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,migraine,mild,I am having migraine related headache symptoms and it is worrying me.,"From what you describe, it sounds like a mild case of migraine headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,migraine,mild,Can my daily habits or lifestyle be causing this migraine headache?,"From what you describe, it sounds like a severe case of migraine headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,stress-related,mild,Why am I getting this kind of stress-related headache repeatedly?,"From what you describe, it sounds like a severe case of stress-related headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,tension,mild,Can my daily habits or lifestyle be causing this tension headache?,"From what you describe, it sounds like a severe case of tension headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,stress-related,mild,Why am I getting this kind of stress-related headache repeatedly?,"From what you describe, it sounds like a moderate case of stress-related headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,migraine,mild,Why am I getting this kind of migraine headache repeatedly?,"From what you describe, it sounds like a moderate case of migraine headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,migraine,mild,I am having migraine related headache symptoms and it is worrying me.,"From what you describe, it sounds like a severe case of migraine headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,migraine,mild,Why am I getting this kind of migraine headache repeatedly?,"From what you describe, it sounds like a mild case of migraine headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,migraine,mild,"I'm not sure if this is normal or serious, my headache feels like migraine and I feel unsure.","From what you describe, it sounds like a severe case of migraine headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,tension,mild,"I'm not sure if this is normal or serious, my headache feels like tension and I feel unsure.","From what you describe, it sounds like a mild case of tension headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,migraine,mild,What can I do at home to manage this migraine headache safely?,"From what you describe, it sounds like a severe case of migraine headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,stress-related,mild,Can my daily habits or lifestyle be causing this stress-related headache?,"From what you describe, it sounds like a mild case of stress-related headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,eye-strain,mild,Why am I getting this kind of eye-strain headache repeatedly?,"From what you describe, it sounds like a mild case of eye-strain headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,sinus,mild,Why am I getting this kind of sinus headache repeatedly?,"From what you describe, it sounds like a moderate case of sinus headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,sinus,mild,I am having sinus related headache symptoms and it is worrying me.,"From what you describe, it sounds like a moderate case of sinus headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,tension,mild,What can I do at home to manage this tension headache safely?,"From what you describe, it sounds like a mild case of tension headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,sinus,mild,Can my daily habits or lifestyle be causing this sinus headache?,"From what you describe, it sounds like a moderate case of sinus headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,stress-related,mild,"I'm not sure if this is normal or serious, my headache feels like stress-related and I feel unsure.","From what you describe, it sounds like a moderate case of stress-related headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,tension,mild,Why am I getting this kind of tension headache repeatedly?,"From what you describe, it sounds like a moderate case of tension headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,tension,mild,"I'm not sure if this is normal or serious, my headache feels like tension and I feel unsure.","From what you describe, it sounds like a moderate case of tension headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,sinus,mild,"I'm not sure if this is normal or serious, my headache feels like sinus and I feel unsure.","From what you describe, it sounds like a severe case of sinus headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,sinus,mild,Why am I getting this kind of sinus headache repeatedly?,"From what you describe, it sounds like a mild case of sinus headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,migraine,mild,Can my daily habits or lifestyle be causing this migraine headache?,"From what you describe, it sounds like a mild case of migraine headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,tension,mild,"I'm not sure if this is normal or serious, my headache feels like tension and I feel unsure.","From what you describe, it sounds like a severe case of tension headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,tension,mild,What can I do at home to manage this tension headache safely?,"From what you describe, it sounds like a moderate case of tension headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,eye-strain,mild,"I'm not sure if this is normal or serious, my headache feels like eye-strain and I feel unsure.","From what you describe, it sounds like a mild case of eye-strain headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,eye-strain,mild,I am having eye-strain related headache symptoms and it is worrying me.,"From what you describe, it sounds like a severe case of eye-strain headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,sinus,mild,Why am I getting this kind of sinus headache repeatedly?,"From what you describe, it sounds like a severe case of sinus headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,eye-strain,mild,I am having eye-strain related headache symptoms and it is worrying me.,"From what you describe, it sounds like a moderate case of eye-strain headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,sinus,mild,What can I do at home to manage this sinus headache safely?,"From what you describe, it sounds like a mild case of sinus headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,eye-strain,mild,Can my daily habits or lifestyle be causing this eye-strain headache?,"From what you describe, it sounds like a mild case of eye-strain headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,migraine,mild,I am having migraine related headache symptoms and it is worrying me.,"From what you describe, it sounds like a moderate case of migraine headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,stress-related,mild,I am having stress-related related headache symptoms and it is worrying me.,"From what you describe, it sounds like a moderate case of stress-related headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,sinus,mild,Can my daily habits or lifestyle be causing this sinus headache?,"From what you describe, it sounds like a severe case of sinus headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,eye-strain,mild,"I'm not sure if this is normal or serious, my headache feels like eye-strain and I feel unsure.","From what you describe, it sounds like a moderate case of eye-strain headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,migraine,mild,"I'm not sure if this is normal or serious, my headache feels like migraine and I feel unsure.","From what you describe, it sounds like a moderate case of migraine headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,stress-related,mild,Can my daily habits or lifestyle be causing this stress-related headache?,"From what you describe, it sounds like a moderate case of stress-related headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,sinus,mild,What can I do at home to manage this sinus headache safely?,"From what you describe, it sounds like a moderate case of sinus headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,eye-strain,mild,What can I do at home to manage this eye-strain headache safely?,"From what you describe, it sounds like a moderate case of eye-strain headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,eye-strain,mild,What can I do at home to manage this eye-strain headache safely?,"From what you describe, it sounds like a severe case of eye-strain headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,tension,mild,I am having tension related headache symptoms and it is worrying me.,"From what you describe, it sounds like a mild case of tension headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,eye-strain,mild,Why am I getting this kind of eye-strain headache repeatedly?,"From what you describe, it sounds like a moderate case of eye-strain headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,eye-strain,mild,I am having eye-strain related headache symptoms and it is worrying me.,"From what you describe, it sounds like a mild case of eye-strain headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,eye-strain,mild,"I'm not sure if this is normal or serious, my headache feels like eye-strain and I feel unsure.","From what you describe, it sounds like a severe case of eye-strain headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,sinus,mild,"I'm not sure if this is normal or serious, my headache feels like sinus and I feel unsure.","From what you describe, it sounds like a mild case of sinus headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,stress-related,mild,What can I do at home to manage this stress-related headache safely?,"From what you describe, it sounds like a mild case of stress-related headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,sinus,mild,What can I do at home to manage this sinus headache safely?,"From what you describe, it sounds like a severe case of sinus headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,stress-related,mild,Can my daily habits or lifestyle be causing this stress-related headache?,"From what you describe, it sounds like a severe case of stress-related headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,tension,mild,I am having tension related headache symptoms and it is worrying me.,"From what you describe, it sounds like a moderate case of tension headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,stress-related,mild,What can I do at home to manage this stress-related headache safely?,"From what you describe, it sounds like a moderate case of stress-related headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,tension,mild,Can my daily habits or lifestyle be causing this tension headache?,"From what you describe, it sounds like a moderate case of tension headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,sinus,mild,I am having sinus related headache symptoms and it is worrying me.,"From what you describe, it sounds like a mild case of sinus headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,eye-strain,mild,What can I do at home to manage this eye-strain headache safely?,"From what you describe, it sounds like a mild case of eye-strain headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
headache,tension,mild,I am having tension related headache symptoms and it is worrying me.,"From what you describe, it sounds like a severe case of tension headache. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,seasonal cold,mild,I am having seasonal cold related cold_flu symptoms and it is worrying me.,"From what you describe, it sounds like a moderate case of seasonal cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,runny nose,mild,"I'm not sure if this is normal or serious, my cold_flu feels like runny nose and I feel unsure.","From what you describe, it sounds like a severe case of runny nose cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,sore throat,mild,Why am I getting this kind of sore throat cold_flu repeatedly?,"From what you describe, it sounds like a severe case of sore throat cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,runny nose,mild,Why am I getting this kind of runny nose cold_flu repeatedly?,"From what you describe, it sounds like a moderate case of runny nose cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
